,precision,recall,f1-score,support
Administrativas,0.3236469984045766,0.6554130874181601,0.4333186114511252,388700.3218222686
Artisticas,0.24030201523153355,0.13419069096508243,0.17221319897905468,388699.44607198506
Cientificas,0.1815935865969024,0.04276642950041279,0.06922899591480698,388697.8666667377
Comercio,0.37727141911005846,0.6482437593218863,0.4769580171062031,388694.04413609806
Construccion,0.45910068475144966,0.8921460706422905,0.6062325334662383,388694.1460372787
Educacion,0.3471078683744981,0.4037008894647683,0.37327149887349403,388701.34140282084
Extractivas,0.27672037238984687,0.10766794842805849,0.15501987531810218,388695.9128805364
Finanzas,0.23279542983530188,0.13657289002557482,0.17215090156799695,388717.7499275384
Hosteleria,0.4260278787788688,0.8498952207128633,0.5675562394141699,388701.808075883
Paro,0.4398071305018917,0.4139493211305262,0.4264866467515896,388697.8522128921
Primario,0.5135175433944725,0.3321864989915085,0.40341203627137256,388707.0897558342
Publica,0.23067344620617444,0.08776126920173602,0.12714816212333957,388684.8158878664
Sanidad,0.2987719760327026,0.3471004922559813,0.3211281020478212,388707.2004930542
Teleco,0.23311717421909528,0.1775952414672446,0.20160335682288902,388686.85726687947
Transporte,0.27108878516642326,0.1338168281881368,0.17918369215879604,388692.87734801427
accuracy,0.35753407770828705,0.35753407770828705,0.35753407770828705,0.35753407770828705
macro avg,0.32343615393291975,0.35753377584761536,0.3123274578844667,5830479.3299856875
weighted avg,0.3234364835326924,0.35753407770964757,0.31232785432751287,5830479.3299856875
