,precision,recall,f1-score,support
0,0.7930452399060065,0.6936695151757444,0.7400361168108298,2915233.8915259433
1,0.7277811293945236,0.8189786274880382,0.7706913601948276,2915235.3194917687
accuracy,0.7563240866755385,0.7563240866755385,0.7563240866755385,0.7563240866755385
macro avg,0.7604131846502651,0.7563240713318913,0.7553637385028287,5830469.211017712
weighted avg,0.7604131766582051,0.7563240866768939,0.7553637422567839,5830469.211017712
