,precision,recall,f1-score,support
0,0.7917970133295271,0.6942177103257549,0.7398035845624735,2915233.8915259433
1,0.7277672075614033,0.8174555757721703,0.7700085296461543,2915235.3194917687
accuracy,0.7558366581389936,0.7558366581389936,0.7558366581389936,0.7558366581389936
macro avg,0.7597821104454652,0.7558366430489626,0.7549060571043139,5830469.211017712
weighted avg,0.7597821026045547,0.7558366581403261,0.7549060608031268,5830469.211017712
