,precision,recall,f1-score,support
Administrativas,0.3221084734626986,0.6576553815060815,0.4324233230837091,388700.3218222686
Artisticas,0.2423458089240657,0.13697405578903626,0.1750242549354021,388699.44607198506
Cientificas,0.16562587288220126,0.038788156988746526,0.0628559826623334,388697.8666667377
Comercio,0.38043565094253096,0.6491509866909401,0.47972685183521374,388700.41502076044
Construccion,0.45774008132833033,0.8904709485976844,0.6046594121900746,388694.1460372787
Educacion,0.34170122848348256,0.410360702632422,0.3728968331179456,388701.34140282084
Extractivas,0.2887800804700674,0.10430018346789029,0.15325020428730632,388695.9128805364
Finanzas,0.2244948408985911,0.12663085188027565,0.16192476671662426,388618.3336232091
Hosteleria,0.4256913863103236,0.8491321762353459,0.5670874996074244,388695.23905999586
Paro,0.4398810142242054,0.4142774216807732,0.4266954812102329,388697.8522128921
Primario,0.512044757471701,0.33028829042584273,0.4015570515462298,388707.0897558342
Publica,0.22975125160209753,0.08993998405173012,0.1292736340594158,388701.12936121016
Sanidad,0.29876652181146707,0.34828155485518,0.32162948166455907,388695.53321005224
Teleco,0.2234572933349689,0.1751628433871724,0.19638453389743415,388741.90426550095
Transporte,0.2846827136405451,0.1304794300750517,0.17894328175298896,388692.87734801427
accuracy,0.35679438702033334,0.35679438702033334,0.35679438702033334,0.35679438702033334
macro avg,0.32250046505248514,0.3567928645509449,0.3109555061711263,5830439.408739096
weighted avg,0.32250123675463666,0.3567943870216633,0.3109566988013095,5830439.408739096
