,precision,recall,f1-score,support
Administrativas,0.32262442048740503,0.6582974086885072,0.43302700310975073,388694.18393189117
Artisticas,0.24310985238448476,0.13264663456639272,0.1716415011775973,388699.44607198506
Cientificas,0.17126555078564368,0.038329125545092727,0.06263955661978551,388697.8666667377
Comercio,0.38018044623193753,0.6492657182191641,0.47955519967821675,388700.41502076044
Construccion,0.45829663049919533,0.8920768623321935,0.6055151738737323,388703.4476106021
Educacion,0.3429644227322425,0.41292687287659335,0.37470791742001236,388683.9677228761
Extractivas,0.28463366423673325,0.10510178436803011,0.15351698753391657,388705.6818094585
Finanzas,0.22730483311494348,0.13094629156010168,0.16616681930636226,388717.7499275384
Hosteleria,0.42192928046892003,0.8489800746991207,0.5637059017523515,388695.23905999586
Paro,0.43334240929892526,0.4173104959982151,0.42517537913640036,388697.8522128921
Primario,0.4996289124134438,0.32483094079955366,0.3937000183512591,388707.0897558342
Publica,0.23959331232342038,0.08456792714150108,0.12501130495184037,388701.12936121016
Sanidad,0.2918088439089281,0.3493621491820611,0.3180024235559525,388695.53321005224
Teleco,0.23063365124857205,0.17122220648636263,0.1965361554233419,388686.8572668794
Transporte,0.28401378785255527,0.13311084012575342,0.18126627570078208,388692.87734801427
accuracy,0.356597623493985,0.356597623493985,0.356597623493985,0.356597623493985
macro avg,0.32208866786582335,0.3565983555059095,0.31001117450608684,5830479.3369767275
weighted avg,0.32208878550068476,0.3565976234952733,0.3100107972349377,5830479.3369767275
