,precision,recall,f1-score,support
0,0.7919858755649026,0.6936609786229683,0.7395696978071302,2915233.8915259433
1,0.7274928262618967,0.8178108790699284,0.7700124521924366,2915235.3194917687
accuracy,0.7557359440481494,0.7557359440481494,0.7557359440481494,0.7557359440481494
macro avg,0.7597393509133996,0.7557359288464484,0.7547910749997835,5830469.211017712
weighted avg,0.7597393430157616,0.7557359440494971,0.7547910787277178,5830469.211017712
