,precision,recall,f1-score,support
Administrativas,0.3213207162724575,0.6539074960130326,0.43090226953632804,388694.18393189117
Artisticas,0.23934025563681785,0.13384802925624428,0.1716839613432857,388691.5490474209
Cientificas,0.17727858950671257,0.04322546094406659,0.06950392730905537,388697.8666667377
Comercio,0.38360661919364814,0.6462826984853395,0.48144653362951784,388700.41502076044
Construccion,0.4552206587034149,0.8862380052166847,0.601485322438186,388703.4476106021
Educacion,0.3355657021059069,0.4139811379785962,0.37067162129248254,388701.34140282084
Extractivas,0.29898640297132995,0.10301842217707999,0.15323750144111353,388695.9128805364
Finanzas,0.22499066817726224,0.12736572890025513,0.16265406665426985,388717.7499275384
Hosteleria,0.42063658384978697,0.8523094083253823,0.5632800136137862,388695.23905999586
Paro,0.4427770354890372,0.4142888505867209,0.42805948079173567,388697.92434636445
Primario,0.504917936202288,0.3380398671095652,0.4049607023850355,388660.9743103773
Publica,0.2397617295169072,0.08658244848283697,0.1272224785580197,388701.12936121016
Sanidad,0.29776702601190635,0.34374906198409527,0.3191101136719255,388695.53321005224
Teleco,0.21587420471545635,0.1649907945050558,0.187033498074359,388686.85726687947
Transporte,0.2753713583346774,0.13072776280319465,0.17729012323051815,388717.82394177257
accuracy,0.3559030388836883,0.3559030388836883,0.3559030388836883,0.3559030388836883
macro avg,0.3222276991125073,0.3559036781845433,0.30990277426464125,5830457.947984961
weighted avg,0.3222264327073962,0.3559030388850598,0.3099017459183172,5830457.947984961
