,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_roc_auc_ovr,split1_test_roc_auc_ovr,split2_test_roc_auc_ovr,split3_test_roc_auc_ovr,split4_test_roc_auc_ovr,mean_test_roc_auc_ovr,std_test_roc_auc_ovr,rank_test_roc_auc_ovr,split0_train_roc_auc_ovr,split1_train_roc_auc_ovr,split2_train_roc_auc_ovr,split3_train_roc_auc_ovr,split4_train_roc_auc_ovr,mean_train_roc_auc_ovr,std_train_roc_auc_ovr
0,395.9064503192902,37.36811719688292,13.761361265182495,1.0550604107015096,200,9,1.4000000000000001,"{'n_estimators': 200, 'max_depth': 9, 'learning_rate': 1.4000000000000001}",0.02372642424944072,0.022081782614469442,0.00374215560421001,0.015108281122309997,0.026828520839008444,0.01829743288588772,0.008229234441614667,8,0.02346682874756751,0.02186900390049731,0.0035633962758848474,0.014994173094423111,0.027040417187711486,0.01818676384121685,0.00829289659258643,0.03625555655414924,0.037515744280136244,0.0002919287944162431,0.01635126099188356,0.047383181120608776,0.027559534348238813,0.016952118416522655,8,0.036072585746050545,0.036760134442097615,0.00026483032689527774,0.01635477814136742,0.04775637127836364,0.0274417399869549,0.016944104342699093,0.5024787754153568,0.489876681823785,0.4972916939715565,0.49494263379854203,0.4910076961686451,0.4951194962355771,0.0045453870268368475,8,0.5016609966184319,0.4916806464216147,0.4976227035663932,0.49439416131794994,0.49076363884363805,0.49522442935360556,0.004008179432317708
1,616.4913684844971,0.6612052661947511,29.431880521774293,0.3423139228406751,250,4,0.5,"{'n_estimators': 250, 'max_depth': 4, 'learning_rate': 0.5}",0.41679236995243135,0.42218257224675754,0.41698986315083375,0.4198242985562517,0.41441024244075186,0.4180398692694053,0.002689949224371612,3,0.4203173176291923,0.4272925849690395,0.4214861047975606,0.4242778935970437,0.4179623621909165,0.4222672526367505,0.0032323725760550273,0.5598070662955705,0.5649861081429035,0.5596771324922796,0.5627663972287197,0.5575356049974325,0.5609544618313812,0.0026143431554601043,3,0.5603526743015942,0.5670812607085594,0.5614222678328046,0.5643464755578863,0.5581138664816506,0.562263308976499,0.003134580992179376,0.7507137744530935,0.7491737673567626,0.7516672636695813,0.7520372853632604,0.7492413292644025,0.7505666840214201,0.0011909963501446133,3,0.8266921388858983,0.8272752385199728,0.8256461873318616,0.8261648222322293,0.8262583452689114,0.8264073464477747,0.0005467588001967317
2,681.9353559494018,2.0441520570560248,58.318458032608035,1.3796371743746823,350,5,0.2,"{'n_estimators': 350, 'max_depth': 5, 'learning_rate': 0.2}",0.4226013940295763,0.4230065955918156,0.42002717234005604,0.4222555162081177,0.41800599291746116,0.4211793342174054,0.0018929806081672057,2,0.42717425910130224,0.4299059692420845,0.42566411457349057,0.42727945226236314,0.42223400750645046,0.4264515605371382,0.0025119101152898714,0.5651856904037837,0.5655703987269501,0.5625819188924015,0.5648632466058583,0.5607758062947847,0.5637954121847557,0.001833810612004557,2,0.5661777670873549,0.568861480696775,0.5647529899824704,0.5664397045195212,0.561487827482366,0.5655439539536975,0.0024202420461937177,0.7520073667690589,0.7508567760055438,0.7518704024928733,0.752167847861052,0.7502933347406388,0.7514391455738333,0.0007337440507229815,2,0.8371013822907895,0.8375810417089248,0.8360303245615405,0.8370421235703187,0.8368593531038296,0.8369228450470805,0.0005059545045014239
3,315.46698846817014,5.0157251388716695,11.962209033966065,0.41690661682578456,100,10,1.6,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 1.6}",0.001583350642363653,0.032930288306019115,0.04596143434542922,0.010562517025333697,0.010661263960773631,0.020339770855983864,0.0164685291209963,7,0.001564625502884938,0.033263189077926525,0.045935974639106106,0.010564192579867765,0.010594838102259,0.020384563980408867,0.016523934655907273,0.00016628706186663954,0.053002374039008565,0.0815351507999379,0.008924307020620383,0.009320480897988249,0.03058971996388435,0.03144875165646567,7,0.0001739902046913234,0.05322729557665382,0.08170488561890711,0.009029852951920552,0.009164926687489732,0.03066019020793251,0.031540961965615004,0.49744426067158737,0.4982116951662469,0.49330563469703315,0.4952155010119946,0.5024377194151266,0.4973229621923977,0.003083686556679724,7,0.49712199983660005,0.49909662003507643,0.4924049749086746,0.49511013772876766,0.5013984661170318,0.4970264397252301,0.0031125405511600087
4,434.43053913116455,0.34609018600907415,13.9904155254364,0.8185993678164915,150,3,0.8,"{'n_estimators': 150, 'max_depth': 3, 'learning_rate': 0.8}",0.4266329793211001,0.4230815068050027,0.4242834912711411,0.42577976028330156,0.42272882048488153,0.42450131163308535,0.0015088707309608063,1,0.4275590309877571,0.42652644625707187,0.4271095629434028,0.42910541463817425,0.42397909975372916,0.426855910916027,0.0016735336033218944,0.5691914185669,0.5657320602572389,0.5668575805196472,0.5683091736026328,0.5655103966466393,0.5671201259186116,0.0014346408836760423,1,0.568670940578144,0.5677121393293635,0.5683248963055101,0.5701611891088526,0.5652592218946844,0.568025677443311,0.001601117669989277,0.7566397382238507,0.7559236148995656,0.7568744867477584,0.7552335899464191,0.7520742498692591,0.7553491359373705,0.0017355463157034295,1,0.7987608689029028,0.7988951408889267,0.7982303789018199,0.7987658754759959,0.798686588056659,0.7986677704452607,0.00022875956954671235
5,363.40264163017275,3.1994971498271836,7.594988298416138,0.2752209975549635,150,7,1.9000000000000001,"{'n_estimators': 150, 'max_depth': 7, 'learning_rate': 1.9000000000000001}",0.10733414827653134,0.004967975456362516,0.02148589796411753,0.8948992100245164,0.0008308362843911741,0.2059036136011838,0.34666143134159444,4,0.1071751444171472,0.004990968075851137,0.021762595746057364,0.8952144462992552,0.0008427518657589917,0.20599718128081398,0.34676229712359546,0.18637769188104955,0.0015166530426376555,0.03703037292144252,0.8730243695065117,0.00019813260546585758,0.21962944399142148,0.33379524216349377,5,0.1859434436253118,0.00154891297475537,0.03773338583089737,0.8731673490981823,0.0001943767203791403,0.2197174936499052,0.3337794313613054,0.5016161045533172,0.5014361676075787,0.49573569205326673,0.4989308829378042,0.5015688915401261,0.4998575477384185,0.0022961560187449107,6,0.5038212831360933,0.5012944143225344,0.49466758504641023,0.49893593019304316,0.5021739724837331,0.5001786370363629,0.0031752545549024688
6,525.0540210723877,26.949121042278986,9.98101372718811,3.7562972136403237,300,2,1.1,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 1.1}",0.42841041810672126,0.009084687126508013,0.4289688471504796,0.0013041405611549986,0.007123399618632525,0.17497829851269928,0.20717032053887804,5,0.42871930550377024,0.00905661084069252,0.4301894405655125,0.0013186087273340183,0.007300444445201124,0.17531688201650208,0.20751877481507844,0.5712525483858397,0.00021174394953871157,0.5712392750887532,1.997359194880319e-05,0.0005910973077398285,0.2286629276647641,0.2797178956129216,4,0.5709035934192014,0.00020797891947470256,0.571748753598929,2.8869901531560065e-05,0.0006150863332586441,0.22870085643447907,0.279752592113626,0.7530164351096028,0.49887510329017565,0.7571324188917337,0.49925454889497634,0.4989493446288724,0.6014455701630721,0.12544425353024224,4,0.7749090018534354,0.5002360255743191,0.7841124637080135,0.4989980894849732,0.49941271634882894,0.611533659393914,0.13718416080593274
7,574.7443667411804,3.544284133118465,17.47520246505737,1.0524714962458146,350,10,1.3000000000000003,"{'n_estimators': 350, 'max_depth': 10, 'learning_rate': 1.3000000000000003}",0.007007603488138491,0.1061764295272762,0.04530085364732482,0.007351539090166167,0.010177744483791882,0.03520283404733952,0.038304417551851454,6,0.006872264246349349,0.10680995163110932,0.04512216507394941,0.007454523321668172,0.010176015962912108,0.03528698404719768,0.03853535666726629,0.005807490473792281,0.18447335656921565,0.07560099002584776,0.0027318031961954675,0.0002625878475842732,0.05377524562252709,0.07117345349871587,6,0.0057213149137251675,0.18566194475827344,0.0751228802177527,0.0028562367450196335,0.0002522873988576303,0.05392293280672571,0.07157701674819783,0.502098119695007,0.5003868581360689,0.5012937460593582,0.4986171052779278,0.4995884855106427,0.5003968629358008,0.0012263592765863612,5,0.5013914894237606,0.4989750409391304,0.5021536968350356,0.4988838300563179,0.4996116914982581,0.5002031497505006,0.0013278150232770192
8,293.79665699005125,141.07182385773172,16.762899780273436,8.387345155492929,50,9,0.4,"{'n_estimators': 50, 'max_depth': 9, 'learning_rate': 0.4}",0.4237761380545558,0.42469890799881505,0.41959132528151294,0.4216800599291746,,,,9,0.43559071848488407,0.4388536181326305,0.43289901781017126,0.4355239490501165,,,,0.5662257917745888,0.5672459512042245,0.5622633508198216,0.5643375237375681,,,,9,0.5699532366765632,0.5731893354369534,0.5673260843689348,0.569973015670382,,,,0.7435180374298608,0.7396720877550764,0.741250076187786,0.7435793820783069,,,,9,0.877473868332232,0.878789446160432,0.8783492027400269,0.8777414323031689,,,
9,11.467575788497925,0.6594239378443069,0.0,0.0,300,2,0.2,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.2}",,,,,,,,9,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,9,,,,,,,
