,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_criterion,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0,536.6029179096222,87.81328113384407,124.25469374656677,81.0247367805991,1000,0.005,1,8,9,entropy,"{'n_estimators': 1000, 'min_samples_split': 0.005, 'min_samples_leaf': 1, 'max_leaf_nodes': 8, 'max_depth': 9, 'criterion': 'entropy'}",0.6200571368253309,0.6189334686275244,0.6185861530027479,0.6187040315990193,0.6164805230182512,0.6185522626145747,0.001159849279219744,9,0.6184944182538507,0.6191183956714865,0.6192494905177566,0.6187620400724256,0.6172195487787334,0.6185687786588506,0.0007250859547176269,0.24505757702872763,0.24408300010807307,0.24347579425113466,0.24399300562385648,0.24200495316033163,0.2437228660344247,0.0009996393845949532,5,0.24379436662971382,0.2438969984351711,0.24449684472251126,0.24405122604581447,0.24288660835304712,0.2438252088372516,0.0005271156226140923,0.7079170527986064,0.7070175350724818,0.7067481622092239,0.7068322403462999,0.7050502836607214,0.7067130548174667,0.0009297919125509503,9,0.7066636152872265,0.7071758333903916,0.7072669545182443,0.7068768646756362,0.7056362595894978,0.7067239054921993,0.000584661628658753,0.7633877835188188,0.7598694481964655,0.7592879547029374,0.7607709650995182,0.75717135530825,0.760097501365198,0.0020272747640425292,3,0.7600638183064752,0.7609907599805849,0.760028104386292,0.7603132932023562,0.7596320292182712,0.7602056010187959,0.0004491467920619854
1,78.95566911697388,21.78347071670828,13.756664419174195,5.904041767168806,100,0.001,2,16,10,gini,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 2, 'max_leaf_nodes': 16, 'max_depth': 10, 'criterion': 'gini'}",0.6140812650460874,0.6081258235977132,0.6118884095327923,0.6064457913375102,0.6132286842822119,0.610753994759263,0.0029647803646335722,10,0.6124393686336002,0.6085218460197391,0.6119728752845354,0.6071320643249515,0.6138289622319475,0.6107790232989547,0.002525047156653066,0.24823395971106582,0.2461286519061968,0.24636176698117573,0.24512935060185093,0.24615568401282215,0.24640188264262228,0.001011209399327633,2,0.24645635406666888,0.2463734390875422,0.24692292187773632,0.24529650228204472,0.24730875930817525,0.24647159532443347,0.0006775322567140237,0.7028572705149683,0.6979326866530933,0.7010865287097084,0.6965542005275135,0.7022147791874815,0.700129093118553,0.002462266419160504,10,0.701544954140292,0.6982577012946696,0.7011380911018531,0.6971257866706831,0.7026780337103069,0.7001489133835609,0.0020995156711615098,0.7757887826227395,0.7708420542430889,0.7711950758858357,0.7723521536652342,0.7699479108282117,0.772025195449022,0.002033495664491877,1,0.7727746485591255,0.7724790639629715,0.7712132170349133,0.7722574555879527,0.7724897742408199,0.7722428318771566,0.0005403583420001201
2,304.2580513000488,48.6864368076633,54.53657236099243,13.417138913185852,500,0.001,1,4,1,gini,"{'n_estimators': 500, 'min_samples_split': 0.001, 'min_samples_leaf': 1, 'max_leaf_nodes': 4, 'max_depth': 1, 'criterion': 'gini'}",0.6466812630030543,0.6457380627279259,0.6447301664050449,0.6458866793789159,0.6464110596567693,0.6458894462343421,0.0006731877452522721,3,0.6454003585529172,0.6453943996962686,0.6457485260342447,0.6458126724342674,0.647153414038884,0.6459018741513163,0.0006491337149571807,0.2357611601717573,0.23489873659749083,0.23355615955336811,0.2341522328266761,0.23267568166703614,0.2342087941632657,0.0010644647323225735,10,0.2338326393078383,0.23428030477100814,0.23465951620348657,0.23410020506363602,0.23451803835747992,0.2342781407406898,0.00029432479509330684,0.7294469189274155,0.7287159926450848,0.7279377918873997,0.7288393608763418,0.7292569858195521,0.7288394100311588,0.0005237525615861934,3,0.72846029447649,0.7284522765035389,0.7287263530711964,0.7287801883785135,0.7298244582071184,0.7288487141273714,0.0005059203752107383,0.7343009137713912,0.7304718268834162,0.7300990094308193,0.7314151781719566,0.7285756378476346,0.7309725132210435,0.0018991002984675915,10,0.7302126968119238,0.7313170706048169,0.7312957008464701,0.7309442532448818,0.7312698583210337,0.7310079159658253,0.00042034199660744335
3,170.56714453697205,23.116314142528566,27.675796031951904,8.679721364056764,100,0.005,2,16,7,log_loss,"{'n_estimators': 100, 'min_samples_split': 0.005, 'min_samples_leaf': 2, 'max_leaf_nodes': 16, 'max_depth': 7, 'criterion': 'log_loss'}",0.6241261777234482,0.6235507234039656,0.6299454169660278,0.6066466902751294,0.6211658948515391,0.621086980644022,0.007775691026987622,7,0.6223114915699204,0.6239425157611759,0.6303244512318659,0.6074257505812009,0.6217014564284516,0.6211411331145229,0.0075096803599473665,0.24794762264870793,0.24835810342248751,0.24725716185515598,0.24498705916185198,0.24518982876061765,0.24674795516976417,0.0014013981277133148,1,0.24636541372029783,0.24818454888145744,0.24775851556220727,0.24530407716401934,0.24619105937910282,0.24676072294141696,0.001060704793708063,0.7111863241396484,0.7107027581401442,0.7159536490068562,0.6967293770347126,0.7088267599668818,0.7086797736576486,0.006420562413864126,7,0.7097378376478559,0.7110296485914558,0.7162508239943761,0.6973733193221648,0.7092407206747494,0.7087264700461204,0.006198417269691721,0.7725922552862294,0.7679243835002204,0.7686910823348511,0.7707604467128416,0.7658038659783069,0.7691544067624898,0.0023388850801930694,2,0.769357340951745,0.7694616915631636,0.76875473142665,0.7704253124109951,0.7685906891086111,0.7693179530922329,0.0006472384968166599
4,786.2438445568084,128.97113712284423,139.63635902404786,24.007318156843183,1000,0.005,1,8,4,gini,"{'n_estimators': 1000, 'min_samples_split': 0.005, 'min_samples_leaf': 1, 'max_leaf_nodes': 8, 'max_depth': 4, 'criterion': 'gini'}",0.6456188857978555,0.6406100496797545,0.6410493017934425,0.6399891037864343,0.6406088259329883,0.6415752333980949,0.00204983213588879,5,0.6442911599510353,0.6401991279638928,0.6416786269432257,0.6402922220812907,0.6413622615714513,0.6415646797021791,0.0014813191126618235,0.24666854863810414,0.2440481306403094,0.2435688607286113,0.24340570479884358,0.24133122484186315,0.24380449392954634,0.001708436945086494,4,0.24520098337617394,0.24351558193311906,0.24380297428490327,0.24365245999058496,0.2430694047683214,0.24384828087062052,0.0007193801690406847,0.7285131012287122,0.7245772811939202,0.7249325705818482,0.7240940077426959,0.7246117593911746,0.7253457440276703,0.0016061741023881912,5,0.7274810502526878,0.7242582392397647,0.7254293073278222,0.724329976121139,0.7251877595879185,0.7253372665058665,0.0011666675914510844,0.757954940163095,0.7540322231620205,0.7539202507605878,0.7551449469678951,0.7520872153218715,0.7546279152750939,0.001931176366244817,7,0.7543072106165425,0.7551387429834449,0.7546982837474894,0.7545993579562356,0.7548794210748462,0.7547246032757118,0.00027787622712100357
5,986.7029061317444,170.0730759691529,91.00261788368225,29.252874581021196,1000,0.001,1,8,10,entropy,"{'n_estimators': 1000, 'min_samples_split': 0.001, 'min_samples_leaf': 1, 'max_leaf_nodes': 8, 'max_depth': 10, 'criterion': 'entropy'}",0.621010552265894,0.6187427855394119,0.6186065833336171,0.6184077907926996,0.6164362571506401,0.6186407938164525,0.0014520055163377678,8,0.6196104269776168,0.6188877027926607,0.6191277595890773,0.6185126195707413,0.61717698555319,0.6186630988966572,0.0008240101770383941,0.24482650998059519,0.24385796674725482,0.24297435758796418,0.24330857528696825,0.241932770281638,0.24338003597688407,0.0009575974564246911,6,0.24371329440636372,0.243578371492244,0.24362543974871986,0.24342511775530531,0.24280242122189202,0.24342892892490497,0.0003269066346230475,0.708708965854824,0.7068665418294559,0.7067793333037087,0.706607257105874,0.7050157868847304,0.7067955769957186,0.001172132587328629,8,0.7075868155020499,0.7069945149785328,0.707191256416431,0.7066888663438029,0.7056035278493191,0.7068129962180271,0.0006712746208546474,0.7632061933508353,0.7595549535517794,0.7589560313720622,0.7603236975309792,0.7570080803407253,0.7598097912292763,0.0020220325960254772,4,0.7598517057168451,0.7606999668103227,0.7596838356288919,0.7598797540179425,0.7594660382689993,0.7599162600886002,0.00041866860453013935
6,654.0192008018494,76.1382718505288,114.36332597732545,20.210183200185593,500,0.001,4,4,7,gini,"{'n_estimators': 500, 'min_samples_split': 0.001, 'min_samples_leaf': 4, 'max_leaf_nodes': 4, 'max_depth': 7, 'criterion': 'gini'}",0.6526707550028773,0.651645833404272,0.6511384801876866,0.6479535548896759,0.6507661400163444,0.6508349527001711,0.0015765161004166167,1,0.6514060347895076,0.6509259211966746,0.6519985153934292,0.64820898203236,0.6516744798561023,0.6508427866536147,0.0013629753556742424,0.24314778814904953,0.24210097418231655,0.2406539978061724,0.2399823574815305,0.24012209849377283,0.24120144322256834,0.0012286794612019827,8,0.24120532248231802,0.24120632770619727,0.24179814791803061,0.24027913868508474,0.24174826367012328,0.24124744009235077,0.0005468409461628412,0.7340689959024076,0.7332774159365061,0.732890976084215,0.7304119620214954,0.7326041124858239,0.7326506924860896,0.001222798990929934,1,0.7330963972294773,0.7327225332909404,0.7335540346952274,0.7306077886809454,0.7333022102053535,0.7326565928203888,0.0010599620929252972,0.7475700016423156,0.7436032418123912,0.7434466333617376,0.7447208063379676,0.7420982936231797,0.7442877953555185,0.0018401337728065313,8,0.7436507673346501,0.7445412827754654,0.7445231885798819,0.7441740281934051,0.7448156549366891,0.7443409843640183,0.000400725315647028
7,631.7359188079834,100.01325631347278,61.50487804412842,18.34586966266348,500,0.001,2,4,,gini,"{'n_estimators': 500, 'min_samples_split': 0.001, 'min_samples_leaf': 2, 'max_leaf_nodes': 4, 'max_depth': None, 'criterion': 'gini'}",0.6526707550028773,0.651645833404272,0.6511384801876866,0.6479535548896759,0.6507661400163444,0.6508349527001711,0.0015765161004166167,1,0.6514060347895076,0.6509259211966746,0.6519985153934292,0.64820898203236,0.6516744798561023,0.6508427866536147,0.0013629753556742424,0.24314778814904953,0.24210097418231655,0.2406539978061724,0.2399823574815305,0.24012209849377283,0.24120144322256834,0.0012286794612019827,8,0.24120532248231802,0.24120632770619727,0.24179814791803061,0.24027913868508474,0.24174826367012328,0.24124744009235077,0.0005468409461628412,0.7340689959024076,0.7332774159365061,0.732890976084215,0.7304119620214954,0.7326041124858239,0.7326506924860896,0.001222798990929934,1,0.7330963972294773,0.7327225332909404,0.7335540346952274,0.7306077886809454,0.7333022102053535,0.7326565928203888,0.0010599620929252972,0.7475700016423156,0.7436032418123912,0.7434466333617376,0.7447208063379676,0.7420982936231797,0.7442877953555185,0.0018401337728065313,8,0.7436507673346501,0.7445412827754654,0.7445231885798819,0.7441740281934051,0.7448156549366891,0.7443409843640183,0.000400725315647028
8,172.0759913444519,24.4167342357678,29.624908685684204,9.5232321212591,100,0.001,2,8,8,entropy,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 2, 'max_leaf_nodes': 8, 'max_depth': 8, 'criterion': 'entropy'}",0.6274495115448395,0.6278819535482377,0.629836455201392,0.6284220920730046,0.6304753473168074,0.6288130719368563,0.001156686335629628,6,0.6258519036844462,0.6278728073535697,0.630221448138368,0.6289125181000117,0.6312381727437021,0.6288193700040196,0.0018722683336065706,0.24469649378352443,0.24302832998545404,0.24311415601414765,0.2428657660845493,0.24117918525459048,0.24297678622445318,0.001115582002854224,7,0.24299783329831245,0.24313683394046842,0.2429499345578253,0.2434996589956598,0.2426232374358571,0.24304149964562463,0.00028433529823394625,0.7139818550208674,0.7143704626864825,0.7159529209833468,0.714813897961003,0.7165076386442539,0.7151253550591907,0.0009560369892833102,6,0.7127203359688344,0.7143610358864322,0.7162680441485112,0.7151964487087618,0.7170957717504969,0.7151283272926073,0.0015206308592953344,0.7619922381065939,0.7573817579238611,0.7574533952060183,0.7589224343323127,0.7555940478414838,0.758268774682054,0.00213996527556803,5,0.7587354405219051,0.7586515598643165,0.7579203815498496,0.7587772422437419,0.7580549086410915,0.7584279065641809,0.00036423685745140387
9,313.98269934654235,41.62039220080808,15.929222249984742,6.434075475612679,500,0.005,4,8,4,gini,"{'n_estimators': 500, 'min_samples_split': 0.005, 'min_samples_leaf': 4, 'max_leaf_nodes': 8, 'max_depth': 4, 'criterion': 'gini'}",0.6466948832236338,0.6447403815704795,0.6443726356148338,0.6453588940343231,0.6439389812040316,0.6450211551294603,0.0009576998546763372,4,0.6451500865736745,0.644566118622108,0.6450419758887634,0.6457505301249742,0.6445877028031289,0.6450192828025298,0.0004345034682464039,0.2472231291036384,0.24602354437514906,0.2453957588237419,0.2458127258376359,0.24410131852879943,0.24571129533379293,0.0010084659201356333,3,0.24582339765741187,0.24578307159294946,0.24582695024172851,0.24605266733701117,0.24532793478359102,0.2457628043225384,0.00023720417217801848,0.7293561318171283,0.7278263332277338,0.7275428432783771,0.7283189090097195,0.7272147486761215,0.7280517932018161,0.0007460771864497101,4,0.7281526575015461,0.7276917197746009,0.7280672333111952,0.728623710675146,0.7277140021218451,0.7280498646768667,0.0003409512255117304,0.7590267316917615,0.7548775067513842,0.7551464002533084,0.7560928758017619,0.7533298999434445,0.7556946828883321,0.0018879457559918423,6,0.755436495853183,0.756008573577621,0.7558702182098567,0.7555797631122445,0.756109108722843,0.7558008318951497,0.00025480103141408946
